step,val_loss,content,style,id1,id2,ssim
0,318.473175,15.379069,195.496353,47.596798,60.000961,0.000000
250,157.101868,18.610516,84.981584,3.819418,49.690348,0.000000
500,151.627019,17.193623,85.129124,3.468971,45.835297,0.000000
750,137.402031,15.818670,77.817057,3.174161,40.592141,0.000000
1000,126.317220,14.123874,72.645223,3.024221,36.523905,0.000000
1250,105.686937,13.877831,57.060554,2.120405,32.628148,0.000000
1500,120.782952,13.164224,73.299679,2.396032,31.923018,0.000000
1750,101.727881,13.717609,54.011071,2.194059,31.805141,0.000000
2000,95.003386,13.112187,52.119541,1.501283,28.270377,0.000000
2250,88.289680,12.850932,47.252728,1.569745,26.616277,0.000000
2500,94.550228,13.978665,49.345958,1.859606,29.365998,0.000000
2750,87.323100,12.726344,47.488404,1.416398,25.691953,0.000000
3000,82.205855,12.943645,43.086475,1.267394,24.908341,0.000000
3250,83.987146,12.029785,46.786113,1.180936,23.990313,0.000000
3500,84.223918,12.114197,45.992029,1.436387,24.681303,0.000000
3750,82.171812,12.135100,45.888907,1.105621,23.042184,0.000000
4000,77.564423,12.501571,42.274872,0.946258,21.841723,0.000000
4250,74.823031,12.675177,39.618938,0.907978,21.620938,0.000000
4500,82.926974,12.259149,46.455778,1.189521,23.022526,0.000000
4750,76.428831,11.523829,44.154588,0.857857,19.892557,0.000000
5000,71.536515,11.729120,40.020339,0.809031,18.978025,0.000000
5250,70.243832,12.092924,38.920268,0.794078,18.436562,0.000000
5500,70.468884,11.951058,39.139600,0.872189,18.506036,0.000000
5750,68.981229,11.903126,38.852254,0.751223,17.474626,0.000000
6000,65.578343,11.231536,36.654930,0.735937,16.955942,0.000000
