step,val_loss,content,style,id1,id2,ssim
0,305.934372,14.419764,190.062134,43.878637,57.573847,0.000000
250,169.200973,19.614383,93.856016,5.182030,50.548547,0.000000
500,148.566980,17.909146,80.152169,3.764074,46.741591,0.000000
750,139.961845,16.657164,77.434485,3.003553,42.866645,0.000000
1000,115.208644,15.658704,58.112270,2.492984,38.944688,0.000000
1250,103.528234,15.513375,48.075811,2.886072,37.052974,0.000000
1500,98.243047,14.866685,47.797093,2.389268,33.190001,0.000000
1750,92.132776,14.441974,44.785410,2.063361,30.842031,0.000000
2000,100.420232,13.983978,52.852982,2.011350,31.571921,0.000000
2250,89.571930,13.268456,47.305466,1.450460,27.547546,0.000000
2500,89.838204,13.509724,47.581240,1.427778,27.319462,0.000000
2750,81.588323,13.185106,41.184871,1.523063,25.695283,0.000000
3000,93.154163,12.554810,52.941079,1.659960,25.998314,0.000000
3250,81.141666,13.510079,40.747596,1.334803,25.549187,0.000000
3500,79.750150,13.273706,39.910791,1.425340,25.140314,0.000000
3750,80.370053,13.590072,40.459947,1.852011,24.468024,0.000000
4000,74.799028,13.105365,37.449210,1.083995,23.160459,0.000000
4250,77.892286,13.482796,39.509770,1.191104,23.708617,0.000000
4500,77.995376,12.179046,42.369489,1.053532,22.393308,0.000000
4750,73.842256,12.463858,39.059557,1.013148,21.305693,0.000000
5000,72.770947,12.134993,38.253714,1.079697,21.302543,0.000000
5250,71.387105,12.069596,38.320392,0.915273,20.081844,0.000000
5500,71.909984,12.180028,40.393006,0.743298,18.593653,0.000000
5750,75.368801,11.888457,43.568833,0.889800,19.021712,0.000000
6000,75.212013,11.454754,44.161339,1.117030,18.478890,0.000000
6250,70.594184,11.627658,40.622019,0.804026,17.540481,0.000000
6500,69.198484,11.296727,40.122631,1.084274,16.694851,0.000000
6750,67.219470,11.235036,38.717001,0.731157,16.536276,0.000000
7000,65.514735,11.495263,37.328575,0.738675,15.952222,0.000000
7250,64.615107,10.979329,37.203583,0.667972,15.764223,0.000000
7500,63.682114,11.373618,36.586234,0.637002,15.085261,0.000000
7750,66.217974,11.437596,38.037902,0.796828,15.945648,0.000000
8000,62.463777,11.247558,35.946255,0.636442,14.633521,0.000000
8250,60.978101,10.521328,35.948329,0.603487,13.904957,0.000000
8500,64.235316,10.255623,39.874805,0.573705,13.531182,0.000000
8750,62.661691,11.248647,36.302201,0.777669,14.333175,0.000000
9000,59.815226,11.146253,34.711937,0.712610,13.244426,0.000000
9250,60.589364,10.686348,36.277916,0.663678,12.961422,0.000000
9500,62.398911,9.862428,39.141819,0.538487,12.856177,0.000000
9750,61.009434,11.067780,36.153447,0.604262,13.183945,0.000000
