step,val_loss,content,style,id1,id2,ssim
125,68.829877,11.582907,35.490702,0.799263,20.957006,0.000000
250,69.876810,11.955992,36.379601,0.775539,20.765678,0.000000
375,70.941216,11.140782,38.207852,0.924900,20.667682,0.000000
500,70.641832,11.755543,36.554432,0.849171,21.482686,0.000000
625,67.375735,11.978030,33.643469,1.078939,20.675297,0.000000
750,70.872831,11.246139,38.285031,0.933996,20.407664,0.000000
875,65.041787,11.347508,33.712347,0.691470,19.290461,0.000000
1000,66.886576,11.322800,36.144561,0.681749,18.737466,0.000000
1125,66.910170,11.350640,36.217200,0.748567,18.593763,0.000000
1250,65.826017,11.321936,34.538956,0.737032,19.228093,0.000000
1375,64.871458,10.787317,35.255240,0.760323,18.068577,0.000000
1500,63.655776,11.615993,33.990557,0.686340,17.362886,0.000000
1625,62.963043,11.493487,33.744597,0.665210,17.059748,0.000000
1750,65.784921,11.235196,35.614667,0.878204,18.056853,0.000000
1875,65.414642,11.753856,35.622422,0.806005,17.232359,0.000000
