step,val_loss,content,style,id1,id2,ssim
125,68.402431,11.714864,34.847318,0.822766,21.017482,0.000000
250,69.740197,11.890105,36.255104,0.753313,20.841675,0.000000
375,68.887504,11.027719,36.688082,0.776435,20.395268,0.000000
500,69.170312,11.996226,35.746561,0.746031,20.681494,0.000000
625,68.878951,11.646632,35.673372,1.008486,20.550460,0.000000
750,70.874436,11.104889,39.155971,0.774323,19.839253,0.000000
875,66.077052,11.060168,34.715781,0.718160,19.582943,0.000000
1000,66.105095,11.249854,35.309109,0.757731,18.788401,0.000000
1125,65.705424,11.569563,34.790041,0.831011,18.514809,0.000000
1250,63.127836,11.382924,32.697605,0.867618,18.179689,0.000000
1375,65.680835,10.806173,35.688599,0.885538,18.300525,0.000000
1500,62.556511,11.535222,33.091199,0.633451,17.296638,0.000000
1625,62.778312,11.011045,33.715392,0.631693,17.420182,0.000000
1750,66.679531,11.021053,36.807504,0.855349,17.995624,0.000000
1875,65.229797,11.543288,35.355744,0.727013,17.603754,0.000000
