step,val_loss,content,style,id1,id2,ssim
125,86.726561,11.879420,35.754684,0.783022,20.784750,17.524684
250,85.966589,11.854168,35.762912,0.743802,20.464216,17.141492
375,85.945406,10.863309,38.375499,0.694102,19.617181,16.395313
500,86.258834,11.337406,38.374260,0.653948,19.695639,16.197582
625,81.103031,11.293199,34.755750,0.629843,18.798443,15.625797
750,83.982558,11.096381,38.729974,0.634520,18.181456,15.340227
875,80.272943,11.037692,35.123773,0.653459,18.034054,15.423965
1000,79.435099,10.565133,36.628047,0.581934,17.061834,14.598150
1125,81.296914,11.167704,37.711248,0.612741,17.245091,14.560129
1250,76.087269,11.169342,33.604695,0.647771,16.312911,14.352548
1375,74.880462,11.373351,33.082983,0.605288,15.899360,13.919480
1500,73.919438,11.360491,33.261740,0.525342,15.097721,13.674144
1625,73.893294,11.414754,33.758805,0.493245,14.776051,13.450439
1750,77.696437,10.298465,37.501308,0.598350,15.565540,13.732776
1875,74.783675,11.334030,35.154395,0.546505,14.486013,13.262732
