step,val_loss,content,style,id1,id2,ssim
125,68.445655,11.622441,35.134793,0.804892,20.883528,0.000000
250,71.278198,11.987302,37.183099,0.821808,21.285988,0.000000
375,71.418161,11.267548,38.227595,0.960007,20.963011,0.000000
500,73.170742,11.340054,38.819342,0.964130,22.047216,0.000000
625,67.974669,11.614631,35.114684,0.869153,20.376201,0.000000
750,68.260237,11.274205,36.712155,0.711751,19.562126,0.000000
875,65.820658,10.911855,34.754694,0.704107,19.450001,0.000000
1000,66.902223,11.276005,35.976048,0.743847,18.906324,0.000000
1125,66.595293,11.564513,35.406422,0.840101,18.784259,0.000000
1250,65.593134,10.978116,34.747932,0.847250,19.019835,0.000000
1375,64.382412,10.841131,34.922113,0.728104,17.891064,0.000000
1500,62.205864,11.319560,33.033908,0.620438,17.231957,0.000000
1625,62.023828,10.930276,33.241339,0.625445,17.226768,0.000000
1750,68.741184,10.442655,39.627435,0.688472,17.982621,0.000000
1875,66.114213,11.595807,35.977795,0.705896,17.834716,0.000000
2000,64.225038,10.966150,35.827806,0.792095,16.638985,0.000000
2125,63.441997,11.013358,35.283781,0.636675,16.508183,0.000000
2250,61.678958,10.681350,34.380920,0.636574,15.980114,0.000000
2375,71.539550,11.913695,39.873195,0.954456,18.798204,0.000000
2500,63.351729,10.666175,35.352869,0.734439,16.598245,0.000000
2625,62.883858,11.388739,34.645089,0.702723,16.147309,0.000000
2750,64.101969,11.675049,35.877585,0.681369,15.867967,0.000000
2875,60.278704,10.584390,33.634534,0.654490,15.405289,0.000000
3000,65.999143,11.299664,37.387632,0.945571,16.366276,0.000000
3125,59.317772,10.644397,33.028317,0.586440,15.058618,0.000000
3250,60.288043,10.841366,34.116899,0.650565,14.679214,0.000000
3375,62.179778,11.039815,35.495080,0.695735,14.949149,0.000000
3500,59.679873,10.694865,34.166296,0.540099,14.278612,0.000000
3625,61.545108,10.487148,35.897191,0.598415,14.562355,0.000000
3750,62.648501,9.847453,37.724108,0.595209,14.481729,0.000000
3875,59.209830,10.171857,34.795831,0.642945,13.599198,0.000000
