step,val_loss,content,style,id1,id2,ssim
125,80.521221,11.864246,35.188312,0.772709,20.815684,11.880269
250,81.531971,11.518498,36.762353,0.834628,20.621176,11.795315
375,80.617144,10.954172,37.678447,0.751754,19.990699,11.242072
500,79.699153,11.847779,36.172301,0.713919,19.760073,11.205080
625,75.792027,11.383152,33.670621,0.659103,19.231653,10.847496
750,103.322995,11.994177,50.365202,4.082823,23.473159,13.407635
875,76.138129,11.046527,34.876789,0.740481,18.737418,10.736915
1000,75.317238,11.228055,35.341559,0.660885,17.609640,10.477099
1125,76.890385,11.504425,36.801867,0.671901,17.787651,10.124541
1250,73.396741,11.338970,33.655934,0.873847,17.195271,10.332719
1375,73.669313,11.229935,35.001922,0.585165,17.097101,9.755191
1500,73.060182,11.147714,35.357817,0.564893,16.284162,9.705596
1625,71.868387,11.709584,33.890379,0.631935,16.077864,9.558624
1750,74.186579,10.842488,36.486870,0.637476,16.627011,9.592734
1875,72.737042,11.330450,35.443214,0.673619,15.899253,9.390507
2000,73.332581,10.681151,38.102550,0.518515,14.947867,9.082500
2125,69.117873,10.770770,34.560770,0.507953,14.292095,8.986285
2250,70.781369,10.214975,36.793423,0.579705,14.272032,8.921234
2375,74.587997,10.948656,38.416594,0.626966,15.498899,9.096881
2500,72.374249,10.406760,37.775072,0.570337,14.629682,8.992398
2625,70.616201,10.634674,36.578526,0.534769,13.964199,8.904034
2750,75.001934,11.687324,38.001559,0.828246,15.097080,9.387725
2875,69.724388,9.876608,37.342636,0.491814,13.388098,8.625233
3000,68.050037,10.343250,35.118500,0.537796,13.556456,8.494035
3125,66.191529,10.385173,33.935036,0.478045,12.917304,8.475971
3250,67.894710,10.765144,35.368614,0.466607,12.980834,8.313513
3375,66.674904,10.337794,34.965332,0.514771,12.406915,8.450093
3500,68.438953,10.185960,36.946177,0.487192,12.729767,8.089858
3625,68.173528,10.301782,36.508149,0.493989,12.568939,8.300668
3750,67.203005,10.383737,36.100862,0.503129,12.192204,8.023074
