step,val_loss,content,style,id1,id2,ssim
0,103.862991,4.844802,65.169693,23.939942,9.908556,0.000000
250,44.817350,6.455735,27.117772,2.278666,8.965177,0.000000
500,40.640769,6.107245,23.447995,2.414402,8.671128,0.000000
750,33.085219,5.810583,16.531383,2.091162,8.652091,0.000000
1000,33.277503,5.835077,17.485416,1.802801,8.154209,0.000000
1250,31.765039,5.667259,17.117547,1.453085,7.527147,0.000000
1500,30.575599,5.501207,16.518962,1.315761,7.239668,0.000000
1750,30.950877,5.606156,16.976776,1.298695,7.069251,0.000000
2000,27.667015,5.524729,13.804210,1.211173,7.126902,0.000000
2250,29.340042,5.370531,15.935508,1.149635,6.884369,0.000000
2500,26.983584,5.437676,13.605766,1.207674,6.732468,0.000000
2750,28.022565,5.264610,15.044927,1.190448,6.522581,0.000000
3000,27.029093,5.372302,14.417459,1.004978,6.234354,0.000000
3250,26.988591,5.207434,14.983324,0.790480,6.007352,0.000000
3500,24.720503,5.254517,12.547030,0.825620,6.093336,0.000000
3750,24.244518,5.084343,12.695667,0.738706,5.725801,0.000000
