step,val_loss,content,style,id1,id2,ssim
0,329.123566,15.410178,200.042358,52.386484,61.284542,0.000000
250,158.241325,18.937897,86.990962,3.251627,49.060840,0.000000
500,147.437286,18.451019,78.946372,3.177126,46.862771,0.000000
750,130.669132,17.212711,67.998148,2.732479,42.725793,0.000000
1000,114.174139,16.216911,56.864806,2.146602,38.945820,0.000000
1250,108.196235,14.482147,57.662124,1.912216,34.139749,0.000000
1500,98.663273,14.108897,51.948554,1.527572,31.078250,0.000000
1750,104.022869,13.103924,59.082023,1.826807,30.010115,0.000000
2000,93.679787,13.498959,49.747744,2.098588,28.334497,0.000000
2250,88.911341,14.180665,45.182032,1.859389,27.689256,0.000000
2500,92.746753,13.728343,51.249602,1.422370,26.346439,0.000000
2750,84.202990,14.143605,42.739823,1.389467,25.930095,0.000000
3000,85.411156,13.256354,45.797589,1.208729,25.148484,0.000000
3250,82.815665,12.957224,45.299566,1.181379,23.377495,0.000000
3500,80.050932,12.866220,41.321964,1.487682,24.375066,0.000000
3750,75.966788,13.031212,38.705585,1.129995,23.099996,0.000000
4000,77.213577,13.345280,40.954560,1.025307,21.888430,0.000000
4250,70.825993,12.634097,37.164853,0.887269,20.139773,0.000000
4500,77.194816,11.563572,44.419918,0.995698,20.215629,0.000000
4750,71.860669,12.912266,38.567233,0.797446,19.583723,0.000000
5000,69.066535,12.269618,37.461639,0.780667,18.554612,0.000000
5250,67.721631,12.095019,36.748705,0.695924,18.181982,0.000000
