step,val_loss,content,style,id1,id2,ssim
0,314.258743,14.092073,193.965775,47.483685,58.717218,0.000000
250,167.160451,18.894759,94.997885,3.418489,49.849321,0.000000
500,125.270360,18.387723,55.628781,3.288688,47.965166,0.000000
750,114.702861,16.855250,52.871839,2.721025,42.254747,0.000000
1000,111.125624,14.601019,58.671099,2.155377,35.698130,0.000000
1250,95.238414,14.617995,46.685614,1.875221,32.059584,0.000000
1500,94.813673,14.207725,46.630014,2.187120,31.788816,0.000000
1750,100.702808,13.928212,52.034520,2.307556,32.432520,0.000000
2000,87.741220,13.409214,45.363999,1.432313,27.535693,0.000000
2250,84.833239,13.193659,43.112099,1.484710,27.042772,0.000000
2500,84.965645,13.877544,41.743359,1.577629,27.767112,0.000000
2750,82.092408,13.033264,42.006252,1.292640,25.760252,0.000000
3000,84.713556,13.607823,43.680080,1.466932,25.958721,0.000000
3250,82.315858,12.073001,44.301214,1.483945,24.457699,0.000000
3500,80.589962,12.057644,42.638957,1.367153,24.526207,0.000000
3750,76.092315,12.271945,39.520501,1.179334,23.120535,0.000000
4000,75.381776,12.573164,39.729577,1.084245,21.994790,0.000000
4250,70.926151,12.685141,36.115872,0.934766,21.190372,0.000000
4500,74.823804,12.152977,39.539603,1.132979,21.998245,0.000000
4750,71.556820,12.047280,38.581606,0.952011,19.975924,0.000000
5000,72.359063,12.163494,38.397645,1.064665,20.733260,0.000000
5250,73.079913,10.722449,42.628938,0.826129,18.902396,0.000000
