step,val_loss,content,style,id1,id2,ssim
0,322.121414,16.150913,196.427139,49.898268,59.645100,0.000000
250,162.852993,18.714047,90.703307,3.484473,49.951164,0.000000
500,137.151835,17.745640,69.700540,3.710592,45.995064,0.000000
750,110.457232,17.065884,50.542928,2.468061,40.380359,0.000000
1000,109.486595,15.004737,56.688907,2.274812,35.518140,0.000000
1250,90.386799,15.280745,41.603562,1.673551,31.828941,0.000000
1500,90.411143,14.734643,42.689163,2.183288,30.804047,0.000000
1750,86.661793,13.947560,42.567393,1.665353,28.481487,0.000000
2000,82.718877,13.793496,39.806289,1.500823,27.618268,0.000000
2250,81.684307,12.921771,41.654804,1.352716,25.755017,0.000000
2500,83.779544,13.479250,41.704352,2.291910,26.304032,0.000000
2750,81.501111,12.217268,43.420286,1.725866,24.137691,0.000000
3000,77.688098,13.378646,38.239115,1.728879,24.341457,0.000000
3250,84.973634,12.474215,45.833658,1.611978,25.053784,0.000000
3500,80.593786,12.557274,42.837681,1.491338,23.707494,0.000000
3750,79.628138,12.864526,42.956922,1.444605,22.362085,0.000000
4000,71.559962,12.041841,37.346712,1.059800,21.111610,0.000000
4250,72.027418,11.749652,38.786216,0.989995,20.501554,0.000000
4500,73.537947,11.837608,41.492085,0.872380,19.335875,0.000000
4750,69.953571,11.585518,39.193340,0.806125,18.368589,0.000000
5000,68.043552,11.336090,38.326468,1.018878,17.362116,0.000000
