step,val_loss,content,style,id1,id2,ssim
0,317.416000,15.696949,193.560463,49.348618,58.809971,0.000000
250,156.353423,18.938281,83.214178,3.553258,50.647706,0.000000
500,151.049542,17.460019,85.566261,2.840241,45.183021,0.000000
750,121.996043,16.319971,59.891147,3.022370,42.762554,0.000000
1000,112.624735,15.312328,57.681229,2.344204,37.286975,0.000000
1250,98.143774,13.925439,49.399175,2.057717,32.761442,0.000000
1500,95.049535,13.751622,49.377638,1.525753,30.394522,0.000000
1750,96.633095,13.429909,51.725400,1.760086,29.717700,0.000000
2000,94.643094,14.501718,46.227674,1.842703,32.070999,0.000000
2250,94.844915,12.884297,53.031322,1.714371,27.214926,0.000000
2500,87.617520,13.232417,47.148088,1.496630,25.740386,0.000000
2750,81.431001,12.803961,41.343173,1.356474,25.927393,0.000000
3000,80.480040,13.243685,40.678674,1.651229,24.906452,0.000000
3250,78.163037,12.908262,39.061534,1.424449,24.768792,0.000000
3500,77.169519,13.319294,38.833647,1.226410,23.790168,0.000000
3750,76.372435,12.089858,39.467627,1.370769,23.444180,0.000000
4000,73.135728,12.359696,38.841787,0.976565,20.957680,0.000000
4250,72.690510,12.102782,39.593228,0.877934,20.116566,0.000000
4500,75.312322,11.705760,41.023848,1.729494,20.853219,0.000000
4750,69.032970,11.021503,39.055780,0.895077,18.060609,0.000000
5000,70.450757,11.252066,40.382142,0.810209,18.006340,0.000000
5250,68.695535,11.134362,39.765649,0.712445,17.083080,0.000000
5500,70.490277,10.367139,42.857522,0.817245,16.448370,0.000000
5750,86.119912,11.324439,51.117372,1.483645,22.194456,0.000000
6000,63.785131,11.153441,35.912095,0.786534,15.933060,0.000000
6250,66.840745,9.869666,40.744073,0.777050,15.449957,0.000000
6500,65.293605,11.090454,37.434184,0.836794,15.932173,0.000000
6750,64.226128,10.910461,37.512747,0.687425,15.115493,0.000000
7000,63.229538,10.935033,37.094132,0.938015,14.262357,0.000000
