step,val_loss,content,style,id1,id2,ssim
0,316.094818,14.149421,193.293312,50.059053,58.593027,0.000000
250,168.622876,19.806419,93.343349,3.686098,51.787009,0.000000
500,139.651161,18.923776,68.228414,3.259862,49.239110,0.000000
750,120.353453,18.299876,52.461067,2.859311,46.733199,0.000000
1000,107.957860,17.019902,47.662794,2.099364,41.175802,0.000000
1250,104.800276,16.701575,47.927472,2.286421,37.884808,0.000000
1500,98.662225,15.463456,47.147427,1.808547,34.242795,0.000000
1750,94.111175,15.669325,43.981742,1.917458,32.542650,0.000000
2000,97.162683,14.210450,50.690970,1.596190,30.665075,0.000000
2250,95.765296,15.332252,47.219472,1.739432,31.474140,0.000000
2500,90.900628,14.689627,46.015971,1.787010,28.408020,0.000000
2750,90.364273,13.732167,47.152414,1.601023,27.878669,0.000000
3000,94.740641,14.800677,46.865762,1.967563,31.106639,0.000000
3250,81.724453,14.127393,40.962462,1.343368,25.291230,0.000000
3500,82.776562,13.504163,42.427070,1.278406,25.566925,0.000000
3750,78.220526,13.630946,38.147546,1.261836,25.180198,0.000000
4000,79.630931,13.428873,39.215934,1.514419,25.471705,0.000000
4250,83.578184,13.563192,42.623894,2.003755,25.387343,0.000000
4500,73.299038,13.367571,35.823885,1.047038,23.060544,0.000000
4750,76.184196,13.294017,39.088323,1.476859,22.324997,0.000000
5000,72.296475,13.502499,36.771842,1.033216,20.988918,0.000000
5250,71.597557,12.597465,36.447448,1.331291,21.221353,0.000000
5500,70.014013,12.703305,36.614930,0.805021,19.890755,0.000000
