step,val_loss,content,style,id1,id2,ssim
0,320.973709,14.976264,195.234879,51.684864,59.077698,0.000000
250,172.580130,20.366319,96.378077,3.870250,51.965481,0.000000
500,154.888257,18.914081,83.296299,4.070169,48.607708,0.000000
750,151.520634,17.834260,83.003562,3.832552,46.850262,0.000000
1000,141.272608,17.693300,72.679843,5.238106,45.661360,0.000000
1250,117.598134,16.011716,59.795258,2.450935,39.340224,0.000000
1500,107.731756,15.736392,53.623169,2.124153,36.248043,0.000000
1750,96.981997,14.962110,46.891532,1.784011,33.344343,0.000000
2000,96.780354,14.942954,48.915306,1.911908,31.010186,0.000000
2250,92.042632,13.792522,47.004161,1.510178,29.735770,0.000000
2500,91.312408,13.646155,46.999805,1.594990,29.071458,0.000000
