step,val_loss,content,style,id1,id2,ssim
0,320.370605,14.936630,196.361267,49.314856,59.757854,0.000000
250,159.721591,18.901702,85.430123,4.280378,51.109388,0.000000
500,132.986687,18.223789,59.229260,4.273454,51.260183,0.000000
750,115.826060,16.143671,58.014790,2.583446,39.084154,0.000000
1000,103.349377,16.215731,46.792849,2.658052,37.682744,0.000000
1250,115.253415,15.149587,61.855420,2.290136,35.958273,0.000000
1500,100.037943,13.154587,54.797001,1.567728,30.518626,0.000000
1750,88.363981,14.081335,43.947929,1.628204,28.706514,0.000000
2000,88.882212,13.428302,46.474398,1.472404,27.507108,0.000000
2250,90.159203,13.472360,48.475748,1.763096,26.447999,0.000000
2500,86.908717,13.309723,46.681942,1.429409,25.487642,0.000000
2750,84.009177,13.597684,44.363124,1.346399,24.701969,0.000000
3000,83.109072,12.989415,41.874144,1.804191,26.441322,0.000000
3250,79.398496,12.961590,41.356589,1.298918,23.781398,0.000000
3500,77.994285,13.195087,40.269888,1.232209,23.297101,0.000000
3750,81.169987,13.376008,42.247215,1.498898,24.047866,0.000000
4000,81.589315,12.041757,45.595270,1.224125,22.728162,0.000000
4250,81.459902,12.216117,44.751347,1.536633,22.955804,0.000000
4500,71.929594,12.141024,38.529080,1.201746,20.057742,0.000000
4750,70.571037,11.991731,39.151770,0.784218,18.643317,0.000000
