step,val_loss,content,style,id1,id2,ssim
0,321.420746,14.564041,196.919304,49.416662,60.520744,0.000000
250,166.430432,19.478805,93.035310,3.408321,50.507996,0.000000
500,164.480032,18.065580,95.206618,3.651386,47.556453,0.000000
750,142.605110,17.873994,75.650694,3.188577,45.891844,0.000000
1000,123.016127,17.385025,59.486924,3.076545,43.067633,0.000000
1250,109.818898,16.262515,54.453523,2.051160,37.051699,0.000000
1500,98.458672,15.229801,47.343918,1.832070,34.052883,0.000000
1750,101.834250,14.544391,53.243004,1.656388,32.390467,0.000000
2000,101.002901,13.682568,53.372458,1.790287,32.157590,0.000000
2250,91.131710,13.761955,46.036364,1.845795,29.487598,0.000000
2500,96.232150,13.019578,54.253120,1.395780,27.563671,0.000000
2750,86.828137,13.719698,44.384387,1.696343,27.027709,0.000000
3000,83.145514,14.204208,42.008708,1.468729,25.463868,0.000000
3250,81.361248,13.566538,41.273493,1.413644,25.107573,0.000000
3500,82.538031,14.303409,40.728753,1.585548,25.920319,0.000000
3750,78.607339,13.339774,40.182419,1.107244,23.977903,0.000000
4000,78.470884,12.970452,40.550647,1.131891,23.817894,0.000000
4250,80.654126,13.625455,42.628652,1.167838,23.232183,0.000000
4500,78.468929,12.604457,42.575661,1.048359,22.240453,0.000000
4750,72.804112,13.044416,37.689605,1.143676,20.926414,0.000000
