step,val_loss,content,style,id1,id2,ssim
0,331.684387,15.679938,199.773048,55.803635,60.427755,0.000000
250,162.683201,19.544595,87.268154,3.788429,52.082023,0.000000
500,156.073848,17.861748,88.700933,3.060975,46.450193,0.000000
750,143.713787,16.785894,81.289801,2.644701,42.993390,0.000000
1000,141.466209,14.634323,86.608237,2.355805,37.867841,0.000000
1250,111.615138,14.143431,59.978654,2.268969,35.224084,0.000000
1500,104.998063,13.586241,57.238424,1.984047,32.189351,0.000000
1750,94.166510,13.888891,46.573406,1.884955,31.819258,0.000000
2000,97.265764,13.392952,50.540425,2.939002,30.393384,0.000000
2250,89.916795,12.946464,47.126873,1.659006,28.184453,0.000000
2500,82.611259,13.782757,40.830394,1.501684,26.496425,0.000000
