step,val_loss,content,style,id1,id2,ssim
0,113.071404,4.916027,64.585918,23.794635,10.017753,9.757071
250,52.763901,5.720230,31.500254,1.764373,7.944534,5.834511
500,48.906027,5.504912,28.650325,1.692446,7.605830,5.452512
750,40.962834,5.371925,21.255179,1.523647,7.456077,5.356006
1000,39.008124,5.282650,20.114670,1.347440,7.053660,5.209704
1250,33.625515,5.160948,16.095240,1.211188,6.470956,4.687183
1500,31.036837,5.116753,14.183406,0.911538,6.359901,4.465238
1750,31.319587,4.730089,15.850314,0.740554,5.865526,4.133103
2000,30.810800,4.682067,15.854771,0.683637,5.697128,3.893198
2250,29.386123,4.765309,14.667587,0.750319,5.468745,3.734164
2500,29.701945,4.715990,15.406722,0.625866,5.322019,3.631348
2750,28.827936,4.745104,14.479441,0.676533,5.338996,3.587862
3000,28.435087,4.537973,14.363520,0.849889,5.132709,3.550995
3250,27.645753,4.752837,13.796072,0.617199,5.072506,3.407138
3500,26.237964,4.445849,12.889623,0.607039,4.977020,3.318432
3750,25.650224,4.572028,12.318536,0.549142,4.932477,3.278039
4000,25.299595,4.503321,12.393970,0.512690,4.777166,3.112449
4250,25.687186,4.575651,12.490118,0.657104,4.789144,3.175169
4500,25.246534,4.674076,12.411631,0.491697,4.618466,3.050664
4750,23.122726,4.432333,11.141224,0.376162,4.283714,2.889293
