step,val_loss,content,style,id1,id2,ssim
0,320.537491,14.888949,196.143234,50.125628,59.379677,0.000000
1000,110.725377,17.018949,50.989678,2.698828,40.017923,0.000000
2000,91.692088,15.171522,44.172655,1.846253,30.501658,0.000000
3000,84.785830,13.185316,43.884833,1.446404,26.269277,0.000000
4000,75.458765,13.578016,37.125386,1.157935,23.597430,0.000000
5000,69.651573,12.552141,36.542778,0.864955,19.691700,0.000000
6000,70.694951,12.052329,40.036451,0.808637,17.797534,0.000000
7000,66.769952,12.323118,36.029646,1.015845,17.401343,0.000000
8000,66.749315,10.695634,40.857836,0.673686,14.522158,0.000000
9000,61.342408,11.295220,36.861131,0.528362,12.657695,0.000000
10000,60.579646,10.618188,36.872518,0.599941,12.488999,0.000000
11000,58.981008,9.549790,37.509507,0.527588,11.394122,0.000000
12000,55.943059,10.185738,34.644629,0.474613,10.638079,0.000000
13000,53.896380,10.677913,32.761448,0.438125,10.018895,0.000000
14000,53.420111,10.436908,32.749710,0.491609,9.741884,0.000000
15000,50.934845,10.761374,30.828118,0.429311,8.916042,0.000000
16000,52.552177,11.393915,31.685719,0.467309,9.005235,0.000000
17000,50.061359,10.677508,30.552466,0.410304,8.421082,0.000000
18000,52.348603,10.987147,31.821979,0.474194,9.065282,0.000000
19000,50.019655,10.209636,31.718380,0.366931,7.724708,0.000000
20000,54.048737,11.593398,32.815265,0.488044,9.152030,0.000000
21000,49.590979,10.835092,30.949880,0.359595,7.446412,0.000000
22000,48.916471,10.495127,30.447252,0.514794,7.459298,0.000000
23000,48.788897,11.046112,29.768218,0.507570,7.466998,0.000000
24000,49.140839,10.740888,30.800399,0.394027,7.205523,0.000000
25000,50.001704,10.743021,31.946923,0.402787,6.908973,0.000000
26000,48.703248,11.043442,30.588904,0.338619,6.732284,0.000000
27000,48.421294,10.957442,30.310331,0.353609,6.799912,0.000000
28000,45.755026,10.755097,28.329465,0.337458,6.333005,0.000000
29000,48.708352,11.907275,28.847876,0.438513,7.514688,0.000000
30000,46.678518,10.652923,29.614198,0.341656,6.069742,0.000000
31000,46.241572,10.673812,28.681078,0.319858,6.566823,0.000000
32000,46.598748,11.081571,29.450560,0.396520,5.670097,0.000000
33000,44.831314,10.774380,28.210744,0.300256,5.545935,0.000000
34000,45.967971,10.946783,28.774072,0.341358,5.905759,0.000000
35000,44.753666,11.343261,27.564041,0.338626,5.507739,0.000000
36000,45.452705,10.285765,29.388391,0.286441,5.492107,0.000000
37000,43.963432,10.772032,28.049709,0.266333,4.875357,0.000000
38000,42.765355,10.749269,26.890079,0.259406,4.866601,0.000000
39000,41.830895,10.599548,26.114422,0.286947,4.829978,0.000000
40000,41.225477,10.522461,25.733962,0.266300,4.702753,0.000000
41000,41.873183,11.324431,25.773410,0.271117,4.504226,0.000000
42000,42.836752,10.991897,26.819643,0.286514,4.738699,0.000000
43000,42.603942,10.904223,26.984539,0.261829,4.453351,0.000000
44000,41.591832,11.128067,25.928813,0.256300,4.278652,0.000000
45000,40.665313,10.845249,25.133502,0.259726,4.426836,0.000000
46000,41.037862,10.763911,25.810040,0.280923,4.182988,0.000000
47000,40.596023,10.954761,25.013157,0.295878,4.332226,0.000000
48000,40.795027,10.608331,26.012826,0.225672,3.948196,0.000000
49000,41.732727,10.958350,26.489746,0.246975,4.037656,0.000000
