step,val_loss,content,style,id1,id2,ssim
0,211.439102,15.006291,196.432816,0.000000,0.000000,0.000000
1000,69.249901,22.086504,47.163398,0.000000,0.000000,0.000000
2000,64.517289,20.506487,44.010802,0.000000,0.000000,0.000000
3000,58.029981,19.422796,38.607185,0.000000,0.000000,0.000000
4000,56.418418,19.100664,37.317754,0.000000,0.000000,0.000000
5000,54.758405,18.662504,36.095902,0.000000,0.000000,0.000000
6000,50.624088,18.276238,32.347850,0.000000,0.000000,0.000000
7000,50.618498,17.456858,33.161641,0.000000,0.000000,0.000000
8000,51.493815,17.226762,34.267053,0.000000,0.000000,0.000000
9000,49.235210,16.899619,32.335591,0.000000,0.000000,0.000000
10000,46.683816,16.357550,30.326266,0.000000,0.000000,0.000000
11000,45.948326,16.390380,29.557946,0.000000,0.000000,0.000000
12000,46.615960,16.406743,30.209217,0.000000,0.000000,0.000000
13000,47.565992,15.429499,32.136492,0.000000,0.000000,0.000000
14000,48.992021,15.813909,33.178112,0.000000,0.000000,0.000000
15000,45.943285,15.664272,30.279013,0.000000,0.000000,0.000000
16000,44.995429,15.749163,29.246266,0.000000,0.000000,0.000000
17000,47.424651,15.081736,32.342915,0.000000,0.000000,0.000000
18000,44.023612,15.195317,28.828295,0.000000,0.000000,0.000000
19000,43.158098,14.967743,28.190355,0.000000,0.000000,0.000000
20000,43.408268,14.706957,28.701311,0.000000,0.000000,0.000000
21000,44.298023,15.206525,29.091498,0.000000,0.000000,0.000000
22000,45.222284,14.445350,30.776935,0.000000,0.000000,0.000000
23000,40.748938,14.508627,26.240311,0.000000,0.000000,0.000000
24000,43.284834,15.309122,27.975712,0.000000,0.000000,0.000000
25000,41.758206,14.565630,27.192577,0.000000,0.000000,0.000000
26000,39.444590,14.549251,24.895340,0.000000,0.000000,0.000000
27000,40.251567,14.175352,26.076215,0.000000,0.000000,0.000000
28000,40.302324,14.828996,25.473328,0.000000,0.000000,0.000000
29000,38.695649,14.718530,23.977119,0.000000,0.000000,0.000000
30000,42.684933,14.423756,28.261178,0.000000,0.000000,0.000000
31000,39.458771,14.571733,24.887038,0.000000,0.000000,0.000000
32000,39.017059,14.657207,24.359851,0.000000,0.000000,0.000000
33000,37.664585,14.397941,23.266644,0.000000,0.000000,0.000000
34000,37.227713,14.174776,23.052938,0.000000,0.000000,0.000000
35000,51.951674,15.315532,36.636142,0.000000,0.000000,0.000000
36000,37.450020,14.006364,23.443656,0.000000,0.000000,0.000000
37000,38.134422,14.099783,24.034639,0.000000,0.000000,0.000000
38000,37.578928,14.124650,23.454278,0.000000,0.000000,0.000000
39000,36.265403,14.331967,21.933436,0.000000,0.000000,0.000000
40000,35.738226,14.075194,21.663032,0.000000,0.000000,0.000000
41000,37.341683,14.141826,23.199857,0.000000,0.000000,0.000000
42000,36.712935,13.832290,22.880645,0.000000,0.000000,0.000000
43000,35.958504,13.775138,22.183366,0.000000,0.000000,0.000000
44000,36.976966,14.036045,22.940921,0.000000,0.000000,0.000000
45000,35.294348,14.129176,21.165172,0.000000,0.000000,0.000000
46000,35.197836,13.859256,21.338580,0.000000,0.000000,0.000000
47000,36.034005,14.038611,21.995394,0.000000,0.000000,0.000000
48000,36.548003,13.814955,22.733048,0.000000,0.000000,0.000000
49000,35.359106,13.546501,21.812606,0.000000,0.000000,0.000000
